# ABC Life LifePRO Export | Generated: 2024-12-31 | Records: 1000
POL_NUM|INSURER_CD|CLNT_DOB|CLNT_GENDER|SMOKER_IND|PROD_CD|POL_COMM_DT|POL_EXPIRY_DT|POL_TERM_YRS|BASIC_SA|PREM_AMT|PREM_FREQ_CD|PREM_ESCL_RT|PREM_PYMT_TERM|REINSURED|RI_RETENTION|RI_CEDED|RI_TREATY|POL_STAT_CD|VAL_FLAG
POL0000001|ABCLIFE|04/12/1968|1|N|WL01|31/12/2014|||234000|5011.6|A|0.1||N|234000|0||IF|Y
POL0000002|ABCLIFE|07/10/1957|2|N|TL01|31/12/2005|31/12/2025|20|1213000|240.87|M|0.1|20|Y|1000000|213000|TRT02|IF|Y
POL0000003|ABCLIFE|15/07/1981|2|N|TL01|31/12/2015|31/12/2040|25|2387000|581.98|M|0.1|25|Y|1000000|1387000|TRT01|IF|Y
POL0000004|ABCLIFE|22/05/1968|1|N|TL01|31/12/2015|31/12/2035|20|2431000|1219.33|M|0.05|20|Y|1000000|1431000|TRT01|IF|Y
POL0000005|ABCLIFE|02/08/1971|2|N|TL01|31/12/2010|31/12/2040|30|3444000|918.24|M|0.0|30|Y|1000000|2444000|TRT02|IF|Y
POL0000006|ABCLIFE|15/11/1975|2|N|WL01|31/12/2007|||323000|539.03|M|0.05||N|323000|0||IF|Y
POL0000007|ABCLIFE|15/03/1961|2|N|WL01|31/12/2005|||110000|121.17|M|0.05||N|110000|0||PU|N
POL0000008|ABCLIFE|21/08/1978|1|N|TL01|31/12/2022|31/12/2032|10|3941000|1457.62|M|0.1|10|Y|1000000|2941000|TRT03|IF|Y
POL0000009|ABCLIFE|23/07/1990|2|N|TL01|31/12/2023|31/12/2053|30|846000|329.72|M|0.05|30|N|846000|0||IF|Y
POL0000010|ABCLIFE|04/05/1988|1|Y|TL01|31/12/2016|31/12/2036|20|4552000|1363.79|M|0.15|20|Y|1000000|3552000|TRT04|IF|Y
POL0000011|ABCLIFE|03/01/1962|1|N|TL01|31/12/2006|31/12/2026|20|1092000|498.25|M|0.0|20|Y|1000000|92000|TRT02|PU|N
POL0000012|ABCLIFE|16/08/1989|2|N|TL01|31/12/2024|31/12/2049|25|514000|96.36|M|0.05|25|N|514000|0||IF|Y
POL0000013|ABCLIFE|03/11/1995|2|Y|TL01|31/12/2024|31/12/2054|30|1800000|320.52|M|0.15|30|Y|1000000|800000|TRT03|IF|Y
POL0000014|ABCLIFE|09/02/1978|1|N|TL01|31/12/2018|31/12/2028|10|2420000|804.53|M|0.05|10|Y|1000000|1420000|TRT03|IF|Y
POL0000015|ABCLIFE|13/06/1984|2|Y|EN01|31/12/2011|31/12/2026|15|2033000|8434.02|M|0.1|15|Y|2000000|33000|TRT01|IF|Y
POL0000016|ABCLIFE|17/04/1981|1|Y|EN01|31/12/2011|31/12/2031|20|2498000|98706.39|A|0.15|20|Y|2000000|498000|TRT02|IF|Y
POL0000017|ABCLIFE|07/05/1990|2|Y|TL01|31/12/2022|31/12/2037|15|4963000|32218.05|A|0.1|15|Y|1000000|3963000|TRT02|PU|N
POL0000018|ABCLIFE|19/01/1975|2|N|TL01|31/12/2021|31/12/2051|30|3759000|2387.24|M|0.05|30|Y|1000000|2759000|TRT01|IF|Y
POL0000019|ABCLIFE|28/11/1984|1|N|TL01|31/12/2012|31/12/2027|15|3909000|19562.38|A|0.0|15|Y|1000000|2909000|TRT02|IF|Y
POL0000020|ABCLIFE|08/03/1984|2|Y|TL01|31/12/2020|31/12/2050|30|2947000|1676.04|M|0.1|30|Y|1000000|1947000|TRT03|IF|Y
POL0000021|ABCLIFE|10/10/1984|2|N|TL01|31/12/2019|31/12/2029|10|3348000|12450.13|A|0.15|10|Y|1000000|2348000|TRT02|IF|Y
POL0000022|ABCLIFE|21/07/1974|1|Y|WL01|31/12/2014|||1934000|3867.25|M|0.1||Y|1000000|934000|TRT04|IF|Y
POL0000023|ABCLIFE|23/02/2001|2|N|TL01|31/12/2018|31/12/2028|10|2701000|1622.05|M|0.1|10|Y|1000000|1701000|TRT04|IF|Y
POL0000024|ABCLIFE|20/08/1959|2|N|WL01|31/12/2014|||511000|2842.25|Q|0.0||N|511000|0||IF|Y
POL0000025|ABCLIFE|01/03/1974|2|N|TL01|31/12/2008|31/12/2028|20|4613000|1425.54|M|0.0|20|Y|1000000|3613000|TRT03|IF|Y
POL0000026|ABCLIFE|03/06/1971|1|N|TL01|31/12/2017|31/12/2027|10|2029000|850.01|M|0.1|10|Y|1000000|1029000|TRT02|PU|N
POL0000027|ABCLIFE|09/11/1979|1|N|TL01|31/12/2020|31/12/2030|10|341000|146.13|M|0.0|10|N|341000|0||IF|Y
POL0000028|ABCLIFE|12/05/1981|1|N|EN01|31/12/2022|31/12/2032|10|2416000|29761.8|Q|0.1|10|Y|2000000|416000|TRT04|IF|Y
POL0000029|ABCLIFE|13/08/1985|2|N|WL01|31/12/2020|||1297000|1307.43|M|0.05||Y|1000000|297000|TRT02|IF|Y
POL0000030|ABCLIFE|23/11/1990|1|N|TL01|31/12/2018|31/12/2033|15|1555000|11659.53|A|0.05|15|Y|1000000|555000|TRT04|IF|Y
POL0000031|ABCLIFE|25/08/1986|2|N|WL01|31/12/2024|||612000|1994.52|Q|0.1||N|612000|0||PU|N
